Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 3,700,000","3bdrm Apartment in Kings Boma Estate, Kiambu CBD for sale","Kings Boma Estate
Perfect Location: Close to Kenya Prisons Staff Training College, along Ruiru -...","Kiambu, Kiambu / Kiambu",2 bedrooms,2 bathrooms,Furnished,150sqm
"KSh 9,500,000","2bdrm Apartment in Ganjoni, Mombasa CBD for Sale","For sale 2 bedrooms newly built apartments Ganjoni,within the mombasa Island, fully tiled,with ample...","Mombasa, Mombasa CBD",4 bedrooms,3 bathrooms,Unfurnished,400sqm
"KSh 11,500,000",4bedroom House Syokimau’S,A well crafted bugalow in a serene neighbour hood located in syokimau comunity road in a gated...,"Machakos, Syokimau",3 bedrooms,2 bathrooms,Unfurnished,120sqm
"KSh 8,800,000",2bdrm Apartment in Valley Arcade for sale,"For sale! kes.8,800,000
2 beds 2 baths
926 sq. ft. lavington
amenities:
• fully equipped gym
•...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,2023sqm
"KSh 39,000,000","4bdrm Duplex in Valley Arcade, Lavington for sale","An exclusively newly build 4bedroom plus Dsq all en-suite duplex apartment for rent in Lavington. 
-...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,1000sqm
"KSh 13,500,000","Furnished 3bdrm Apartment in Mbuyuni, Shelly Beach for sale",We are selling a fully furnished house .It is a self contained three bedroom house. Custom built for...,"Mombasa, Likoni",3 bedrooms,2 bathrooms,Unfurnished,200sqm
"KSh 16,000,000","4bdrm Townhouse/Terrace in 4 Br Master Ensuite, Zambezi/Sigona",Tastefully finished 4br with ensuite bedrooms,"Kiambu, Kikuyu",4 bedrooms,4 bathrooms,Unfurnished,500sqm
"KSh 5,000,000","3bdrm Bungalow in Babito, Mweiga for Sale",Prime 3 bedroom bungalow sitting on a quarter of an ancre on sale 2nd row from Nyeri Mweiga highway...,"Nyeri, Kieni",3 bedrooms,2 bathrooms,Unfurnished,300sqm
"KSh 6,300,000","3bdrm Bungalow in Matangi, Ruiru for Sale","3 bedroom all ensuite house in matangi junction selling at 6.3m negotiable.
 property feature
*in an...","Kiambu, Ruiru",5 bedrooms,5 bathrooms,Unfurnished,4000sqm
"KSh 5,700,000",2bdrm Apartment in Ziwa la Ngombe for sale,"2 bedrooms - for sale  
 modern 2 bedrooms apartment
 near the highway, high speed lift, parking 
...","Mombasa, Nyali",5 bedrooms,5 bathrooms,Unfurnished,2000sqm
"KSh 40,000,000",5bdrm Maisonette in Rimpa for sale,"The house is on 1/2 acre plot,located in Rimpa thayu gardens
It 5 bedroom all ensuite,sitting room,...","Kajiado, Ongata Rongai",4 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 8,500,000",3bdrm Bungalow in Juja South for sale,"-3 Bedroom, 2 Ensuite 
-Sitting on a 40x80 plot
-Flat roof
-Ready Documents","Kiambu, Juja",4 bedrooms,4 bathrooms,Unfurnished,500sqm
"KSh 8,000,000",4bdrm House in Miritini World Bank for sale,A beautifully finished 4bedroom family house located within Miritini World Bank Estate with two...,"Mombasa, Jomvu",3 bedrooms,4 bathrooms,Unfurnished,198sqm
"KSh 40,000,000","3bdrm Apartment in Cloud 9 Beachfront, Nyali for sale",For sale (high - end) || cloud 9 beachfront || 3 bedroom || 3000sqft || sandy beach || nyali...,"Mombasa, Nyali",5 bedrooms,5 bathrooms,Unfurnished,3000sqm
"KSh 7,200,000","3bdrm Maisonette in Fahari, Bamburi for sale","Consist of one master bedroom and two extra bedrooms and a servant quarter, parking and garden. In a...","Mombasa, Bamburi",3 bedrooms,4 bathrooms,Semi-Furnished,300sqm
"KSh 11,500,000","5bdrm Maisonette in Fisheries, Mtambo for sale",Distress 5 bedroom maisonette onsale located in a strategic area if Fisheries bamburi mtambo...,"Mombasa, Bamburi",4 bedrooms,4 bathrooms,Semi-Furnished,245sqm
"KSh 100,000,000","4bdrm Mansion in Barracks Estate, Nyali for sale","4 mansionettes fairly used on a 1/2acre plot, cabro driveway, gardens and wall fenced","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,29sqm
"KSh 9,500,000",Two Bedroom Apartment For Sale At Shanzu Serena Mombasa,Amazing two bedroom fully furnished apartment for sale at serena shanzu Mombasa walking distance to...,"Mombasa, Kisauni",4 bedrooms,3 bathrooms,Unfurnished,505sqm
"KSh 60,000,000",Furnished 6bdrm House in Hardy for Sale,"6bdrms for sale at karen Hardy off maasai Lane, sitting on 1/2 of an acre going for 60m. The house...","Nairobi, Karen",2 bedrooms,1 bathroom,Semi-Furnished,94sqm
"KSh 53,500,000",4bdrm Mansion in Kiambu / Kiambu  for sale,4 bedroom premium for sale off Kiambu Road in a gated community close to Wadi Degla Club and...,"Kiambu, Kiambu / Kiambu",5 bedrooms,3 bathrooms,Unfurnished,4000sqm
"KSh 33,000,000","4bdrm Maisonette in Thika Town Prime, Section Ten for Sale",For quick sale is a prime property in thika town section 9 area. On half acre plot with four...,"Kiambu, Thika",1 bedroom,1 bathroom,Unfurnished,nan
"KSh 25,000,000",5bdrm Maisonette in Nyali for Sale,Amodern state of art five bedroom Maisonnet at Nyali Mombasa County for quick sale. Quality features...,"Mombasa, Nyali",4 bedrooms,4 bathrooms,Unfurnished,253sqm
"KSh 135,000,000",7bdrm Maisonette in Karen for sale,"Karen
AMBASSADORIAL HOME FOR SALE IN KAREN NEAR HILL CREST SCHOOL (Still under...","Nairobi, Karen",4 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 212,000,000","Furnished 6bdrm Mansion in Galu Diani, Ukunda for sale","The property sits on a 6 acre plot of land.
it consists of three villas and huge block for office,...","Kwale, Ukunda",1 bedroom,1 bathroom,Unfurnished,20sqm
"KSh 6,500,000","3bdrm Maisonette in Affordable Private, Kikuyu for Sale","Located in a quiet, serene neighbourhood off the southern bypass in thogoto, an area with a rich...","Kiambu, Kikuyu",3 bedrooms,3 bathrooms,Unfurnished,300sqm
"KSh 4,000,000",Studio Apartment in Southb for sale,"Studio apartments for sale at South B Ksh 4M.
FEATURES 
*Appx. 25 sq.m of floor space in a modern,...","Nairobi, South B",3 bedrooms,1 bathroom,Unfurnished,117sqm
"KSh 7,200,000",5bdrm Bungalow in Kapsoya for sale,"Kapsoya eldoret.
3bedroom main house plus 2and 1 bedroom sq for sale in kapsoya eldoret.
. 
this is...","Uasin Gishu, Ainabkoi",9 bedrooms,5 bathrooms,Unfurnished,1000sqm
"KSh 21,000,000",4bedroomed Bungalow With Dsq For Sale,"Modern spacious 4bedroomed bungalow with dsq located in fedha estate off pipe line road.
We have...","Nairobi, Embakasi",6 bedrooms,5 bathrooms,Unfurnished,100sqm
"KSh 12,800,000",4bdrm Maisonette in Syokimau for Sale,"4bedroom maisonette + sq in syokimaubehind gateway mall along mombasa road
purchase and be part of a...","Machakos, Syokimau",3 bedrooms,3 bathrooms,Unfurnished,1500sqm
"KSh 15,000,000",4bdrm Maisonette in Ngoingwa for sale,"4 bedroom maisonette for sale at Ngoingwa Murram Road, all rooms are ensuite sitting on a 50 by 100...","Kiambu, Thika",5 bedrooms,3 bathrooms,Unfurnished,1000sqm
"KSh 47,000,000",4bdrm Bungalow in Hardy for sale,"Deal! 
KAREN 4 BEDROOM BUNGALOW ON SALE 
Location: Karen Hardy Area, Just Off Mukoma Road In A Gated...","Nairobi, Karen",2 bedrooms,2 bathrooms,Unfurnished,460sqm
"KSh 14,500,000",4bdrm Mansion in Kenyatta Road / Theta for sale,It’s a four bedroom all en-suite with all bedrooms being upstairs.three of the bedrooms have...,"Kiambu, Juja",5 bedrooms,5 bathrooms,Unfurnished,150sqm
"KSh 83,000,000","5bdrm Mansion in Mioton Mansions, Karen for Sale","Are you looking for A dream house?
Look no further, Mioton Mansions.
They're located in aquiet ,...","Nairobi, Karen",10 bedrooms,5 bathrooms,Unfurnished,1000sqm
"KSh 15,800,000","5bdrm Mansion in Karen View, Maasai Lodge for sale","Magnificent five bedroom massion
Features
 Five bedroom massion in pul pitch foundation
 Master...","Kajiado, Ongata Rongai",4 bedrooms,4 bathrooms,Unfurnished,450sqm
"KSh 9,000,000",5bdrm Apartment in Bamburi for Sale,Anewly built house at Utange Bamburi is up for sale . The facility has a complete 3 bedroom ground...,"Mombasa, Bamburi",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 105,000,000",5bdrm House in Karen C for sale,"Five bedroom villa for sale in Karen.
Gated community
Mature Garden
Half acre","Nairobi, Karen",3 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 11,000,000","2bdrm Apartment in 2, 3 & 4 Bedrooms, Parklands/Highridge for sale","Features 2, for 11m, 3 for 17m & 4 for 21m Bedrooms Apartments for sale with DSQ overlooking Karura...","Nairobi, Parklands/Highridge",2 bedrooms,1 bathroom,Unfurnished,104sqm
"KSh 7,800,000","3bdrm Apartment in Bamburi, Mtambo for sale","This modern newly built Apartment consists of three bedroom units with master bedroom,one ensuite...","Mombasa, Bamburi",10 bedrooms,5 bathrooms,Unfurnished,2100sqm
"KSh 55,000,000",4bdrm Penthouse in Kileleshwa for sale,"Kileleshwa ultra modern spacious 4bedroom plus Dsq duplex penthouse for rent.
- High quality...","Nairobi, Kileleshwa",1 bedroom,2 bathrooms,Semi-Furnished,64sqm
"KSh 12,000,000","3bdrm Bungalow in Mugutha, Kwa Kairu for sale",3-bedroom bungalow where the master bedroom comes with an en-suite bathroom. Located in a secure...,"Kiambu, Ruiru",3 bedrooms,4 bathrooms,Unfurnished,150sqm
"KSh 58,000,000","5bdrm Maisonette in Mugumo, Kiambu / Kiambu for Sale","*manicured lawn
* Fronts a permanent river
* Holds up to 7 cars
* All round electric perimeter...","Kiambu, Kiambu / Kiambu",4 bedrooms,3 bathrooms,Unfurnished,2000sqm
"KSh 8,200,000",3bdrm Bungalow in Ruiru Mugutha Murera for Sale,"BRAND NEW BUNGALOW HOUSE ON SALE AT RUIRU MUGUTHA MURERA AT 8.2M neg
*3- bedrooms all ensuit house...","Kiambu, Ruiru",5 bedrooms,3 bathrooms,Unfurnished,23sqm
"KSh 27,000,000","Furnished 5bdrm Bungalow in 📍Kamakis, Nairobi Central for sale","5 Bedrooms Mansionatte 
all ensuite 
Modern Town Houses
170k per month","Nairobi, Nairobi Central",4 bedrooms,4 bathrooms,Unfurnished,195sqm
"KSh 12,000,000",4bdrm Mansion in Rimpa Homes for sale,"Executive four bedroom, in a gated community of 6 Units,the house, with fireplace master ensuite...","Kajiado, Ongata Rongai",4 bedrooms,4 bathrooms,Unfurnished,100sqm
"KSh 16,500,000",4bdrm Maisonette in Ruiru for sale,"Ruiru Off Exit 13 Thika road 
Details :
4 Bedroom Mainsonettes with en-suite Dsq 
2 Parking spaces...","Kiambu, Ruiru",3 bedrooms,3 bathrooms,Unfurnished,132sqm
"KSh 7,500,000",2bdrm Apartment in Old Nyali for Sale,"For sale 2 bedrooms upcoming apartments nyali with swimming pool,master ensuites,ample parking,...","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,210sqm
"KSh 16,900,000",4bdrm Mansion in Kenyatta Road for sale,A 4 bedrooms flat-roof mansion house in Kenyatta Road (Juja)with a semidetached DSQ in a gated...,"Kiambu, Juja",6 bedrooms,5 bathrooms,Semi-Furnished,900sqm
"KSh 23,000,000","3bdrm Apartment in The Axis Residence, Nyali Mkomani for sale","WHERE LIFE ENCOUNTERS SERENITY.
The sun slowly sinks on the distant horizon as a palette of soft,...","Mombasa, Nyali",4 bedrooms,3 bathrooms,Unfurnished,1000sqm
"KSh 20,000,000","2bdrm Apartment in Diani Beach, Ukunda for Sale","Two bedroom apartments on first row in diani for sale.
a chance to own a luxurious apartment on a...","Kwale, Ukunda",4 bedrooms,2 bathrooms,Unfurnished,2500sqm
"KSh 65,500,000",4bdrm Apartment in Westlands for sale,"OVERVIEW
Location: Peponi Road, Westlands
View: Karura Forest
Bedrooms:4 all ensuite, plus SQ...","Nairobi, Westlands",3 bedrooms,2 bathrooms,Unfurnished,900sqm
"KSh 6,300,000","2bdrm Apartment in Laikipia Heights,, Nanyuki for sale","Offplan project in nanyuki kenya
laikipia heights, nanyuki – home of elegant living on haile...","Laikipia, Nanyuki",5 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 21,000,000",4bdrm Maisonette in Kibiku for sale,"4BR Maisonette for sale in Ngong on 1/4 plot - Ksh 21M
The house sits on 1/4 acre plot in Ngong...","Kajiado, Ngong",8 bedrooms,8 bathrooms,Unfurnished,2000sqm
"KSh 8,500,000",3bdrm House in Mtwapa Maisonette for sale,"Mtwapa Gated Community Estate... 
-Construction ongoing
-Payments plan is 30% balance within 12...","Kilifi, Mtwapa",1 bedroom,1 bathroom,Unfurnished,100sqm
"KSh 12,000,000",3bdrm Bungalow in Kenyatta Road for Sale,3 bedroom all ensuite with DSQ for sale along Kenyatta road for... Features and amenities: Large...,"Kiambu, Juja",2 bedrooms,2 bathrooms,Unfurnished,45sqm
"KSh 45,000,000",6bdrm Maisonette in Membley Estate for sale,"Newly built maisonnette with modern finish on quarter acre,6 bedrooms,study room,prayer room,...","Kiambu, Ruiru",4 bedrooms,4 bathrooms,Unfurnished,3200sqm
"KSh 8,500,000","4bdrm Bungalow in Kanyariri, Kabete for sale",Uncomplete 4 bedrooms house for sale in Kabete Kanyariri kiambu County next to kanyariri Ndumboini...,"Kiambu, Kabete",3 bedrooms,1 bathroom,Unfurnished,900sqm
"KSh 13,000,000","4bdrm Maisonette in Karismatic, Kikuyu for sale","FOR SALE -Kikuyu
4 bedroom (2 Ensuite)-198Sqm
■4 in Total 
■Individual title deeds (Freehold)
■1 km...","Kiambu, Kikuyu",4 bedrooms,5 bathrooms,Unfurnished,3200sqm
"KSh 130,000,000",4bdrm Maisonette in Nyali for sale,"Amazing garden sanctuary,! this sustainable 4 bedroom all ensuite.
Residence built on one acre piece...","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,50sqm
"KSh 6,600,000","3bdrm Apartment in Sabaki, Athi River for sale","Studios, 1,2&3 Bedrooms apartments for sale at Sabaki area, Athiriver.
Easily accessible through the...","Machakos, Athi River",3 bedrooms,3 bathrooms,Unfurnished,154sqm
"KSh 14,500,000",3bdrm Maisonette in Greenspan for sale,"*Spacious 3bedroom masionate *with servants quarter.
 *master ensuite. 
*Located at donholm...","Nairobi, Donholm",4 bedrooms,4 bathrooms,Unfurnished,310sqm
"KSh 19,888,888",4bdrm Apartment in Tudor for Sale,This amazing modern brand new 4br all ensuite seaview apartment is located in a secure high-end of...,"Mombasa, Tudor",3 bedrooms,2 bathrooms,Unfurnished,30sqm
"KSh 165,000,000","5bdrm Maisonette in Diani Reef, Ukunda for sale","5BR Maisonette Diani on sale
This spacious 5BR Maisonette is situated in a prime location near Diani...","Kwale, Ukunda",20 bedrooms,2 bathrooms,Unfurnished,360sqm
"KSh 12,000,000","Furnished 3bdrm Bungalow in Mukurwe Ndarugu Road, Thika for sale","House in sale in Ndarugu-kangoo road ,2km from tarmac 500 metres from mukurwe police station ,3...","Kiambu, Thika",4 bedrooms,3 bathrooms,Unfurnished,150sqm
"KSh 4,850,000","3bdrm Apartment in Kigwaru Drive, Ruaka for sale","3 Bedroom house for sale at Ruaka kigwaru Drive .

The project is under construction.
Phase one...","Kiambu, Ruaka",3 bedrooms,3 bathrooms,Semi-Furnished,500sqm
"KSh 23,000,000",6bdrm Maisonette in Membley Estate for sale,"6 bedrooms mansionette for sale in Membley,Ruiru 
House Sits on a 40*80 Land
Gypsum Done on Entire...","Kiambu, Ruiru",3 bedrooms,4 bathrooms,Unfurnished,170sqm
"KSh 25,000,000","5bdrm Maisonette in Syokimau, Gateway Mall Area for Sale",A unique newly constructed elegant maisonette in syokimau with a lovely garden 5 spacious bedroom a...,"Machakos, Syokimau",3 bedrooms,3 bathrooms,Unfurnished,3000sqm
"KSh 7,000,000",3bdrm Apartment in Bombolulu for Sale,3 bedrooms 2 ensuites near the Mld-Msa highway close to all amenities,"Mombasa, Kisauni",3 bedrooms,2 bathrooms,Unfurnished,500sqm
"KSh 23,500,000",4bdrm Maisonette in Mombasa Road for Sale,4BEDROOM all ensuite Massionette with Detached DSQ on a 50x100 plot in Syokimau in a gated community...,"Nairobi, Mombasa Road",4 bedrooms,4 bathrooms,Unfurnished,274sqm
"KSh 7,500,000",3bdrm Apartment in Nyayo Estate for Sale,A 3bedroom in Nyayo Embakasi Gate D. S but negotiable. It is not far from the main gate.,"Nairobi, Embakasi",4 bedrooms,4 bathrooms,Unfurnished,250sqm
"KSh 37,000,000",Furnished 4bdrm Duplex in Nyali Mkomani for sale,"- Swimming pool
- Parking
- Security 24/7
- Near School and Shopping centers","Mombasa, Nyali",5 bedrooms,5 bathrooms,Unfurnished,200sqm
"KSh 65,000,000",Furnished 4bdrm House in Karen C for sale,A big house located in Karen at Forest Ridge near Amara Ridge. This house is spacious enough and is...,"Nairobi, Karen",4 bedrooms,4 bathrooms,Unfurnished,180sqm
"KSh 40,000,000","5bdrm Maisonette in Superhighway, Juja for sale","- Selling this elegant maisonette 
- ina gated estate 
- it's a four bedroom, with staff bedroom 
-...","Kiambu, Juja",3 bedrooms,4 bathrooms,Unfurnished,120sqm
"KSh 65,000,000","5bdrm Maisonette in Bongain, Karen for Sale",5bedrooms maisonette on half for sale Karen bongain very spacious rooms standalone sale price 65m,"Nairobi, Karen",5 bedrooms,5 bathrooms,Unfurnished,532sqm
"KSh 8,700,000","4bdrm Mansion in Matangi Magomano, Murera for sale","A newly built 4 bedroomed all ensuite house sutting on 2 40 by 60 plots up for quick sale.
Has a...","Kiambu, Juja",5 bedrooms,5 bathrooms,Unfurnished,1600sqm
"KSh 4,900,000",1bdrm Apartment in Nyali for Sale,"Its a classic upcoming one bedrooms in Nyali.
*modern finishes with classical interior 
*swimming...","Mombasa, Nyali",5 bedrooms,5 bathrooms,Unfurnished,740sqm
"KSh 600,000,000",5bdrm Mansion in Kitisuru for sale,"Stunning 5 bedroom house for sale, Kitisuru 
This remarkable estate is serene and secure with CCTV...","Nairobi, Kitisuru",10 bedrooms,5 bathrooms,Unfurnished,1000sqm
"KSh 7,500,000","3bdrm Bungalow in Matangi, Ruiru for Sale","Brand new 3 bedroom house on sale a ruiru matangi selling at 7.5m negotiable
*it's located about 2...","Kiambu, Ruiru",4 bedrooms,4 bathrooms,Unfurnished,100sqm
"KSh 125,000,000",6bdrm House in Karen C for sale,"Standalone, with Private Pool on 0.5acre
This massive house has several lounges, a game room, 8...","Nairobi, Karen",3 bedrooms,3 bathrooms,Unfurnished,180sqm
"KSh 41,000,000","Furnished 4bdrm Maisonette in Wata, Watamu for sale","The house Is for sale
Kilifi watamu 
It comes with air conditioner in all the 4 rooms
All...","Kilifi, Kilifi North",1 bedroom,1 bathroom,Unfurnished,45sqm
"KSh 16,500,000",2bdrm Apartment in Nyali for sale,Nyali apartment located along Baobab road has two bedroom units for sale.Apartment comprises a host...,"Mombasa, Nyali",1 bedroom,1 bathroom,Unfurnished,135sqm
"KSh 75,000,000",5bdrm Townhouse/Terrace in Karen for sale,"A fairly used, impressive fine living townhouse 
Its stand alone property.
Viewing by appointment","Nairobi, Karen",2 bedrooms,2 bathrooms,Unfurnished,1500sqm
"KSh 7,200,000",For Sale 2 Bedrooms Flat Nyali,"For sale 2 bedrooms excutive flat nyali will all rooms ensuites,fully tiled,balconies,ample...","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,1000sqm
"KSh 10,500,000","3bdrm Apartment in Pavilion Suites 3, Nyali for sale","Pavilion suites ||nyali,mombasa || 3 bedroom || kes.10,500,000 || swimming pool || mini shop ||for...","Mombasa, Nyali",4 bedrooms,4 bathrooms,Unfurnished,600sqm
"KSh 43,300,000","3bdrm Townhouse/Terrace in Silver Hill, Ruiru for sale",These 3 bedroom Chelsea type homes are stunning. Each unit is on 3 levels and has a family room and...,"Kiambu, Ruiru",2 bedrooms,1 bathroom,Unfurnished,2400sqm
"KSh 7,000,000","3bdrm Bungalow in Makutano, Wamumu for Sale","A bungalow 3 bedroom master ensuite for sale at Sagana
Siting on 1/4 acre piece of land,
Open...","Kirinyaga, Wamumu",3 bedrooms,3 bathrooms,Semi-Furnished,580sqm
"KSh 12,600,000",Furnished 3bdrm Apartment in Hurlingham for sale,Three bedroom apartment in Kilimani near Yaya center that goes for Kshs 12.6M/= the apartment is...,"Nairobi, Kilimani",4 bedrooms,3 bathrooms,Unfurnished,250sqm
"KSh 6,500,000","1bdrm House in Maji Mazuri, Mwiki for sale","Prime plot for sale at Mwiki Maji Mazuri, it contains 5 single rooms and 5 double rooms, sitting on...","Nairobi, Mwiki",4 bedrooms,4 bathrooms,Unfurnished,100sqm
"KSh 9,500,000",3bdrm Apartment in Nyali Estate for sale,"Nyali 3 bedroom apartment for sale, 1 unit left","Mombasa, Nyali",5 bedrooms,5 bathrooms,Unfurnished,100sqm
"KSh 13,000,000","3bdrm Apartment in Lavington, Maziwa for sale",This fairly used 3bedroom apartment designed with high quality finishes and located in a prestigious...,"Nairobi, Lavington",5 bedrooms,4 bathrooms,Unfurnished,450sqm
"KSh 5,000,000","2bdrm Apartment in Digro Apartments, Ruaka for sale","2 bedroom apartment all ensuite.
located at Ruaka kigwaru drive.
900mts from main.
affordable and...","Kiambu, Ruaka",3 bedrooms,3 bathrooms,Unfurnished,150sqm
"KSh 7,200,000",2bdrm Bungalow in Bamburi for sale,For sale 2 bedroom unit and a unit of 1 bedroom i a compound bamburi within a gated community...,"Mombasa, Bamburi",3 bedrooms,2 bathrooms,Unfurnished,4080sqm
"KSh 12,000,000","Furnished 4bdrm Maisonette in Kenol, Kimorori/Wempa for Sale",A 4 bedroom maisonette is on sale at Kenol.The house is just few metres from Thika superhighway.It...,"Murang'a, Kimorori/Wempa",3 bedrooms,2 bathrooms,Unfurnished,230sqm
"KSh 2,500,000","2bdrm Bungalow in Heaven'S Bangalow, Gekomu for sale","This house is found a long kisii -kilgoris highway, its a two bedroom house newly built.
Asking also...","Kisii, Kisii CBD",3 bedrooms,5 bathrooms,Unfurnished,150sqm
"KSh 10,000,000",3bdrm Maisonette in Kitengela for sale,"3BR Maisonettes all ensuite with DSQ for Sale at Kitengela for Ksh 10M.
Only 6 houses in the...","Kajiado, Kitengela",1 bedroom,1 bathroom,Unfurnished,37sqm
"KSh 14,000,000",4bdrm Mansion in Kimbo for sale,"KIMBO MODERN 4-BEDROOMS MANSIONETTES, 4-UNITS
4 BEDROOMS LUXURY VILLAS. 40X80 PLOTS, All...","Kiambu, Ruiru",4 bedrooms,5 bathrooms,Unfurnished,250sqm
"KSh 60,500,000",4bdrm Villa in Runda for sale,"PREMIUM 4-BEDROOM VILLA IN RUNDA FOR SALE
Amenities
• Clubhouse and gym
• Games room (pool table,...","Nairobi, Runda",4 bedrooms,4 bathrooms,Unfurnished,1000sqm
"KSh 85,000,000",6bdrm Maisonette in Karen for Sale,"Situated near Nairobi academy and japanese school.
*6 bedrooms 5 ensuite
*standing on 1 acre
*Price...","Nairobi, Karen",1 bedroom,1 bathroom,Unfurnished,500sqm
"KSh 45,000,000",4bdrm Villa in Kiambu Road for sale,"4 bedroom plus DSQ luxurious Villas for Sale along Kiambu road for Ksh 45M. 
All Ensuite with a...","Kiambu, Kiambu / Kiambu",5 bedrooms,5 bathrooms,Unfurnished,10sqm
"KSh 5,500,000","3bdrm Apartment in Riara Greenview, Kahawa West for sale","3, bedroom unit with ready title","Nairobi, Kahawa West",3 bedrooms,2 bathrooms,Semi-Furnished,500sqm
"KSh 30,000,000",5bdrm House in Joska for Sale,"House on a Half an acre of land in Joska, 100m from kangundo Rd.
Containing 5bedrooms + a...","Nairobi, Kamulu",4 bedrooms,5 bathrooms,Unfurnished,1631sqm
"KSh 10,500,000","3bdrm Maisonette in Lower Kabete, Wangige for Sale","Three bedroom, master bedroom en-suite, with balcony
*American style dining and kitchen
*Spacious...","Kiambu, Kabete",3 bedrooms,2 bathrooms,Semi-Furnished,200sqm
"KSh 16,000,000","4bdrm House in Nyambari, Limuru for sale","4 Bedroom All Ensuite Mansion For Sale in Limuru, Nyambari.
Price: Ksh 16,000,000 /=...","Kiambu, Limuru",3 bedrooms,2 bathrooms,Unfurnished,500sqm
"KSh 4,500,000","3bdrm Bungalow in Malaba, Ruiru for Sale",Experience luxury living in the heart of Witeithie with this beautiful 3 bedroom bungalow. Only 3km...,"Kiambu, Ruiru",4 bedrooms,3 bathrooms,Semi-Furnished,300sqm
"KSh 50,000,000","4bdrm Bungalow in Kikeeni Gardens, Karen for Sale","Modern, stunning and spacious 4bedroomed bungalow, dsq and garage located in karen hardy along...","Nairobi, Karen",4 bedrooms,4 bathrooms,Unfurnished,100sqm
"KSh 5,800,000","Furnished 10bdrm House in Mikindani, Mombasa CBD for sale","This house is at very prime business zone at mikindani,with 2 shops,3 units of double rms and 2...","Mombasa, Mombasa CBD",3 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 8,500,000",3bdrm Apartment in Nyali for Sale,Do you want to own an apartment in nyali... well here is your chance... we have brand new 3...,"Mombasa, Nyali",7 bedrooms,5 bathrooms,Unfurnished,nan
"KSh 110,000,000",10bdrm House in Karen for sale,"Ten bedroomed townhouse for sale in Karen. The property is located in Hardy, near Giraffe Center. It...","Nairobi, Karen",3 bedrooms,3 bathrooms,Unfurnished,2000sqm
"KSh 9,500,000","3bdrm House in Majaoni, Utange for sale","3 bedroom house on sale
Mini flat 
With a plan to build 4, flats
Located utange majaoni
Clear tittle...","Mombasa, Bamburi",3 bedrooms,3 bathrooms,Unfurnished,1000sqm
"KSh 80,000,000","5bdrm Maisonette in Wind Ridge, Hardy for Sale",A well crafted maisonette 5 spacious bedroom sitting on a half Acre in a gated comuninity in wind...,"Nairobi, Karen",5 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 22,500,000",Furnished 2bdrm Bungalow in Watamu for sale,"Watamu Mida creek road
Fully Furnished 3bedroom House For Sale
The House Sits On 2Acrae Parcel Of...","Kilifi, Kilifi North",3 bedrooms,3 bathrooms,Unfurnished,450sqm
"KSh 14,500,000",4bdrm Townhouse/Terrace in Ngong for sale,"Ngong 
Amazing townhouses in an estate for sale in Kibiko Ngong.
Beautiful, modern designed and...","Kajiado, Ngong",3 bedrooms,2 bathrooms,Semi-Furnished,300sqm
"KSh 110,000,000","5bdrm Maisonette in Moyne Drive, Nyali for sale","1acre plot with 5 bedrooms masionette,canadese tegola roof,garden,cabro drive way,parking...","Mombasa, Nyali",3 bedrooms,2 bathrooms,Unfurnished,2000sqm
"KSh 15,500,000","4bdrm Bungalow in North Coast Hotel, Kikambala for sale","This bungalow features a 2-bedroom main house and a separate 2-bedroom servant's quarters, all...","Kilifi, Kilifi South",6 bedrooms,5 bathrooms,Unfurnished,650sqm
"KSh 70,000,000",4bdrm Townhouse/Terrace in Karen for Sale,"This lovely home tucked away in Karen Bomas Area.
The unit has the following features but to mention...","Nairobi, Karen",10 bedrooms,1 bathroom,Unfurnished,60sqm
"KSh 23,000,000","4bdrm Maisonette in Five Star Phase 1, South C for sale","FOUR BEDROOM HOUSE
At south C, Five Star Phase 1
Three ensuite, One not
Self Contained Servants...","Nairobi, South C",4 bedrooms,3 bathrooms,Unfurnished,101sqm
"KSh 95,000,000",4bdrm Mansion in Karen for sale,"Description
This is a residential development situated in the Miotoni area of Karen. There are 12...","Nairobi, Karen",5 bedrooms,5 bathrooms,Unfurnished,580sqm
"KSh 18,300,000","3bdrm Bungalow in Palm Park Zone, Ukunda for sale","A High-end Galu beach Prime Bungalow, Opposite Neptune Hotels in Diani beach peaceful horizone...","Kwale, Ukunda",3 bedrooms,4 bathrooms,Unfurnished,285sqm
