Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 21,000,000",4bdrm Apartment in Kileleshwa for sale,"4 BEDROOM PLUS DSQ AT KSH 21M 
This new modern and elegant project is located in the leafy suburbs...","Nairobi, Kileleshwa",4 bedrooms,5 bathrooms,Unfurnished,272sqm
"KSh 260,000,000",20bdrm Block of Flats in Mombasa Matikiti for sale,"Twin plot quarters making a half asking in Mombasa matikiti, the plot is ideals for mall, appartment...","Mombasa, Mombasa CBD",20 bedrooms,20 bathrooms,Unfurnished,2000sqm
"KSh 62,500,000","10bdrm Block of Flats in Kirigiti, Riabai for sale","-Beautiful 5 Storey Flat -24 one Bedroom
-7 Bedsitters
-Plot size 40×90
 -water connected on...","Kiambu, Kiambu / Kiambu",10 bedrooms,5 bathrooms,Unfurnished,320sqm
"KSh 8,000,000",2bdrm Apartment in Kilimani for sale,"2 BEDROOM AT KSH 8M 
BOOK WITH ONLY 20%
This project is perfectly poised within the idlyllic...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,80sqm
"KSh 25,000,000",3bdrm Apartment in Kileleshwa for Sale,"Spacious 3 Bedrooms + DSQ 2,700 Sqft Apartment For Sale in Kileleshwa ( Indian Developer)
A 3...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,270sqm
"KSh 14,500,000",2bdrm Apartment in Kilimani for sale,"2 BEDROOM APARTMENT AT KSH 14.5M 
Spacious modern newly built 2 bedroom apartment for sale in...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 40,000,000",Furnished 5bdrm Townhouse/Terrace in Kileleshwa for sale,KILELESHWA OFF LAIKIPIA ROAD . Near Kasuku center. Is a spacious 5 bedroom townhouse. In a gated...,"Nairobi, Kileleshwa",5 bedrooms,6 bathrooms,Furnished,410sqm
"KSh 11,500,000",2bdrm Apartment in Kilimani for sale,This new modern and elegant project is located in the heart of Kilimani near yaya center consisting...,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,106sqm
"KSh 16,000,005","2bdrm Apartment in Valley Arcade, Lavington for sale","EXECUTIVE 2 BEDROOM PLUS A DSQ FOR SALE IN LAVINGTON
Price is 16.5M
 Features include; 
All ensuite...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,85sqm
"KSh 15,000,000","4bdrm Maisonette in Bamburi, Vescon Estate for Sale","Bamburi four bedroom maisonette for sale, Own compound house, all bedrooms are en suite, very...","Mombasa, Bamburi",4 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 25,000,000","4bdrm Maisonette in Shanzu, Nyali Mkomani for Sale","Shanzu four bedroom maisonette for sale, in a gated community house but each house has its own gate...","Mombasa, Nyali",4 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 17,000,000","4bdrm Maisonette in Miritini, Nyali Mkomani for Sale","Miritini four bedroom all en suite maisonette for sale, Own compound, Very spacious bedrooms,...","Mombasa, Nyali",4 bedrooms,4 bathrooms,Unfurnished,5000sqm
"KSh 14,100,000","4bdrm Townhouse/Terrace in Easternville Estate, Kamakis for sale",Easternville is an all round and beautiful community of a Masterplan Estate with 3 acres of common...,"Kiambu, Ruiru",4 bedrooms,7 bathrooms,Unfurnished,200sqm
"KSh 9,300,000",2bdrm Apartment in Hurlingham for sale,Designed and finished to highest standards inside and out. This is an opportunity to come home to...,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,88sqm
"KSh 8,700,000",2bdrm Apartment in Kilimani for sale,"2bedroom apartment for sale in kilimani near adlife 
amenities
fully equipped gym with great...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,82sqm
"KSh 15,500,000",3bdrm Apartment in Kilimani for sale,"Elevate your lifestyle in the prestigious suburbs of Kilimani, along Wood Avenue. Our exquisite 1,...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,131sqm
"KSh 30,000,000",4bdrm Villa in Kiambu CBD for sale,"Luxurious residential villas for sale on Njathaini road Kiambu County, near Windsor Golf club. The...","Kiambu, Kiambu / Kiambu",4 bedrooms,5 bathrooms,Unfurnished,505sqm
"KSh 7,800,000","2bdrm Apartment in Dunaff Towers, Kileleshwa for sale",2 Bedroom Apartment (Master Ensuite) for sale in Killeleshwa.,"Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 6,500,000","3bdrm Bungalow in Green Valley, Ruai for Sale",Beautiful bungalow for SALE AT 6.5 Million -Fairly new built in a serene quite secured...,"Nairobi, Ruai",3 bedrooms,2 bathrooms,Unfurnished,1012sqm
"KSh 12,500,000",3bdrm Apartment in Riverside Drive for sale,"RIVERSIDE 
Spacious modern still under construction 3 bedroom unit for sale in riverside 
Fully...","Nairobi, Lavington",3 bedrooms,3 bathrooms,Unfurnished,120sqm
"KSh 6,500,000",1bdrm Apartment in Kilimani for sale,"1 BEDROOM AT KSH 6.5M 
BOOK WITH ONLY 20%
This project is perfectly poised within the idlyllic...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,50sqm
"KSh 23,000,000",3bdrm Apartment in Kileleshwa for sale,"Book with only 20%
this new project located in the no-so busy heart of kileleshwa just 2 minutes...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,250sqm
"KSh 12,000,000","5bdrm Maisonette in Muigai, Kitengela for sale","4-Bedroom Mansion in the Heart of Muigai, Kitengela 
Nestled in the prestigious neighborhood of...","Kajiado, Kitengela",5 bedrooms,3 bathrooms,Unfurnished,139sqm
"KSh 12,600,000",3bdrm Apartment in Kilimani for sale,"BOOK WITH ONLY 20%
3BEDROOM Apartments for sale in Kilimani. 
This project is perfectly poised...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,120sqm
"KSh 12,500,000",Furnished 3bdrm Bungalow in Syokimau for sale,"Sitting on 100*100plot easily accessible from quarry road.Near syokimau country club 
.Ready and...","Machakos, Syokimau",3 bedrooms,2 bathrooms,Furnished,100sqm
"KSh 9,500,000",2bdrm Apartment in Kileleshwa for sale,"1, 2 & 3 Bedrooms Apartment In Kileleshwa For Sale 
This is a project of 1, 2, 3 bedroom apartments...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,115sqm
"KSh 5,900,000",4bdrm Bungalow in Kitengela for sale,"Have you been looking for a nice home in Kitengela to settle down with your family? Here you go 
Get...","Kajiado, Kitengela",4 bedrooms,3 bathrooms,Unfurnished,129sqm
"KSh 13,500,000","4bdrm Maisonette in Legacy Ridges, Kiambu / Kiambu  for sale","Introducing 3 & 4 bedroom maisonetes+ dsq
legacy ridges is strategically located in a highly secured...","Kiambu, Kiambu / Kiambu",4 bedrooms,4 bathrooms,Unfurnished,245sqm
"KSh 14,500,000",3bdrm Apartment in Kilimani for sale,This new modern and elegant project is located in the heart of Kilimani near yaya center consisting...,"Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 4,800,000","1bdrm Apartment in Kindaruma Road, Hurlingham for sale","1-, 2- and 3-bedroom apartments at Kilimani going from Kes. 4.8m
•	1 bedroom with a balcony (three...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,40sqm
"KSh 13,700,000",3bdrm Apartment in Lavington for Sale,Stunning secure 3 bedrooms Renovated apartment that boasts of charming dining area separate from...,"Nairobi, Lavington",3 bedrooms,2 bathrooms,Unfurnished,12sqm
"KSh 13,500,000","3bdrm Apartment in Kilimani, Hurlingham for sale","These are 3 bedroom; 3 bed + sq. and 3bed + study room apartments units situated in nairobi,...","Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,135sqm
"KSh 90,000,000",6bdrm Maisonette in Kilifi for Sale,"Kilifi beach house for sale, one acre plot, five bedroom all en suite, very spacious rooms, outside...","Kilifi, Kilifi Town",6 bedrooms,5 bathrooms,Semi-Furnished,4000sqm
"KSh 70,000,000","4bdrm Maisonette in Kikambala, Nyali Mkomani for Sale","Kikambala quick sale, beach house for sale, front row, four bedroom maisonette all en suite, two...","Mombasa, Nyali",4 bedrooms,4 bathrooms,Semi-Furnished,900sqm
"KSh 300,000,000","Furnished 6bdrm Maisonette in Malindi, Shella for Sale","Six bedroom maisonette on 2.5 Acre plot front row, white sand beach, all bedrooms are en suite, two...","Kilifi, Malindi",6 bedrooms,5 bathrooms,Furnished,4500sqm
"KSh 24,500,000",4bdrm Penthouse in Lavington for Sale,Overlooking the greater Lavington area and it's environs is this magnificent penthouse apartment...,"Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,250sqm
"KSh 11,000,000",2bdrm Apartment in Hurlingham for sale,Indulge in the allure of luxury living with our sizzling 2-bedroom apartment. This chic and...,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,106sqm
